# Auto-generated function map from Ghidra analysis
# Address        Size  Name
#----------------------------------------------------------------------
  02004228            4  FUN_02004228
  0200429c            6  FUN_0200429c
  0200445a            4  FUN_0200445a
  02004914          164  FUN_02004914
  02004d40          240  FUN_02004d40
  02004e38          188  FUN_02004e38
  02004ef8          116  FUN_02004ef8
  02004f7c          356  FUN_02004f7c
  020050f4          228  FUN_020050f4
  020051f4          136  FUN_020051f4
  0200528c          100  FUN_0200528c
  02005300          112  FUN_02005300
  02005380          176  FUN_02005380
  02005444          344  FUN_02005444
  020055c0          828  FUN_020055c0
  02005900          616  FUN_02005900
  02005b70          440  FUN_02005b70
  02005d54           20  FUN_02005d54
  020062b4           40  FUN_020062b4
  02006304           92  FUN_02006304
  0200636c          112  FUN_0200636c
  020063dc          244  FUN_020063dc
  020064d0         3216  FUN_020064d0
  02007178          312  FUN_02007178
  020072d4          232  FUN_020072d4
  020073d0          168  FUN_020073d0
  02007484          160  FUN_02007484
  02007530           84  FUN_02007530
  020075ac          108  FUN_020075ac
  0200762c           20  FUN_0200762c
  02007648          364  FUN_02007648
  020077b8           84  FUN_020077b8
  02007810          108  FUN_02007810
  0200787c          296  FUN_0200787c
  020079b4          184  FUN_020079b4
  02007a74          140  FUN_02007a74
  02007b14           56  FUN_02007b14
  02007b5c          408  FUN_02007b5c
  02007d2c          108  FUN_02007d2c
  02007d98           80  FUN_02007d98
  020084a0          140  FUN_020084a0
  02008534         2636  FUN_02008534
  02008f8c           48  FUN_02008f8c
  02008fc0           72  FUN_02008fc0
  02009100           12  FUN_02009100
  02009110           40  FUN_02009110
  02009150           16  FUN_02009150
  02009160           28  FUN_02009160
  0200917c           28  FUN_0200917c
  02009198           28  FUN_02009198
  020091b4           28  FUN_020091b4
  020091ec           48  FUN_020091ec
  0200921c          176  FUN_0200921c
  020092d4           72  FUN_020092d4
  02009328           84  FUN_02009328
  0200937c           88  FUN_0200937c
  020093d4          104  FUN_020093d4
  02009460           96  FUN_02009460
  02009560          152  FUN_02009560
  0200960c          108  FUN_0200960c
  02009678         1648  FUN_02009678
  02009cec          272  FUN_02009cec
  02009e00          444  FUN_02009e00
  02009fc4          760  FUN_02009fc4
  0200a2c4          352  FUN_0200a2c4
  0200a424          104  FUN_0200a424
  0200a494         2868  FUN_0200a494
  0200aff0           96  FUN_0200aff0
  0200b050          552  FUN_0200b050
  0200b278          196  FUN_0200b278
  0200b33c          832  FUN_0200b33c
  0200b68c          252  FUN_0200b68c
  0200b790           96  FUN_0200b790
  0200b958          156  FUN_0200b958
  0200b9fc         1024  FUN_0200b9fc
  0200be04           12  FUN_0200be04
  0200be14           48  FUN_0200be14
  0200be48           56  FUN_0200be48
  0200be84           48  FUN_0200be84
  0200beb8          812  FUN_0200beb8
  0200c1ec          120  FUN_0200c1ec
  0200c264          100  FUN_0200c264
  0200c2c8           44  FUN_0200c2c8
  0200c2fc           52  FUN_0200c2fc
  0200c334           64  FUN_0200c334
  0200c3a0           12  FUN_0200c3a0
  0200c45c          124  FUN_0200c45c
  0200c4d8          148  FUN_0200c4d8
  0200c56c           52  FUN_0200c56c
  0200c5a0          296  FUN_0200c5a0
  0200c76c          376  FUN_0200c76c
  0200c930           88  FUN_0200c930
  0200c990          928  FUN_0200c990
  0200cd30          132  FUN_0200cd30
  0200cdb4          152  FUN_0200cdb4
  0200ce4c          128  FUN_0200ce4c
  0200cee4           32  FUN_0200cee4
  0200cf08           40  FUN_0200cf08
  0200cf58           52  FUN_0200cf58
  0200cf90           52  FUN_0200cf90
  0200cfc8           16  FUN_0200cfc8
  0200d028           64  FUN_0200d028
  0200d0c8          636  FUN_0200d0c8
  0200d348          832  FUN_0200d348
  0200d6c8           80  FUN_0200d6c8
  0200d798         2324  FUN_0200d798
  0200e0d8           20  FUN_0200e0d8
  0200e0f0          252  FUN_0200e0f0
  0200e1f0          460  FUN_0200e1f0
  0200e3c0          172  FUN_0200e3c0
  0200e484          104  FUN_0200e484
  0200e5b4           20  FUN_0200e5b4
  0200e5cc          112  FUN_0200e5cc
  0200e640          120  FUN_0200e640
  0200e6c0         1096  FUN_0200e6c0
  0200eb10          120  FUN_0200eb10
  0200eb90         1676  FUN_0200eb90
  0200f224          164  FUN_0200f224
  0200f32c         1180  FUN_0200f32c
  0200f7cc           32  FUN_0200f7cc
  0200f7ec           32  FUN_0200f7ec
  0200f80c           20  FUN_0200f80c
  0200f824          724  FUN_0200f824
  0200fbdc          212  FUN_0200fbdc
  0200fcb4         2060  FUN_0200fcb4
  02010518          116  FUN_02010518
  0201058c           56  FUN_0201058c
  020105c8           48  FUN_020105c8
  020105fc          104  FUN_020105fc
  0201066c          136  FUN_0201066c
  020106f4            8  FUN_020106f4
